participant_id	d_condition	tau_condition	a_condition	decision	RT	collision
7	60	100.0	[0.0, 0.0]	go	1.260	False
7	60	100.0	[0.0, 0.0]	go	0.380	False
7	60	100.0	[0.0, 0.0]	go	0.420	False
7	60	100.0	[0.0, 0.0]	go	0.400	False
7	60	100.0	[0.0, 0.0]	go	0.360	False
7	60	5.0	[-2.0, 4.0]	go	1.580	True
7	60	5.0	[4.0, 0.0]	go	1.300	True
7	30	5.0	[4.0, 0.0]	stay	1.840	False
7	60	5.0	[4.0, -2.0]	go	0.940	False
7	60	3.5	[0.0, 4.0]	stay	1.200	False
7	60	5.0	[4.0, 0.0]	stay	1.320	False
7	30	3.5	[4.0, 4.0]	stay	1.180	False
7	60	5.0	[-2.0, 4.0]	go	0.700	False
7	30	5.0	[-2.0, 4.0]	stay	1.540	False
7	30	3.5	[-2.0, -2.0]	stay	1.040	False
7	30	5.0	[0.0, -2.0]	go	1.460	False
7	30	5.0	[4.0, -2.0]	stay	2.120	False
7	30	5.0	[4.0, 0.0]	stay	1.680	False
7	60	3.5	[0.0, -2.0]	go	0.360	False
7	60	5.0	[0.0, -2.0]	go	1.120	False
7	30	5.0	[-2.0, -2.0]	go	0.620	False
7	30	5.0	[-2.0, 0.0]	go	0.800	False
7	30	5.0	[4.0, 4.0]	go	0.620	True
7	30	5.0	[0.0, 0.0]	stay	1.340	False
7	60	3.5	[0.0, 4.0]	stay	1.560	False
7	30	3.5	[4.0, -2.0]	stay	0.960	False
7	60	3.5	[0.0, 4.0]	stay	2.080	False
7	30	3.5	[4.0, 0.0]	stay	0.900	False
7	30	5.0	[4.0, -2.0]	stay	1.240	False
7	60	3.5	[4.0, 4.0]	stay	2.180	False
7	60	5.0	[-2.0, 0.0]	go	0.820	False
7	60	3.5	[4.0, 0.0]	stay	1.040	False
7	30	3.5	[-2.0, -2.0]	stay	1.500	False
7	60	5.0	[4.0, 4.0]	go	0.880	False
