participant_id	d_condition	tau_condition	a_condition	decision	RT	collision
2	60	100.0	[0.0, 0.0]	go	2.580	False
2	60	100.0	[0.0, 0.0]	go	3.460	False
2	60	100.0	[0.0, 0.0]	go	0.560	False
2	60	100.0	[0.0, 0.0]	go	0.500	False
2	60	100.0	[0.0, 0.0]	go	2.900	False
2	60	3.5	[0.0, 4.0]	stay	0.940	False
2	30	3.5	[4.0, 4.0]	stay	1.220	False
2	30	5.0	[4.0, 4.0]	go	0.920	True
2	60	3.5	[0.0, 0.0]	stay	0.820	False
2	30	3.5	[0.0, -2.0]	go	1.140	False
2	60	5.0	[0.0, -2.0]	go	1.000	False
2	30	3.5	[4.0, 0.0]	stay	0.980	False
2	30	5.0	[4.0, 4.0]	go	0.840	True
2	60	3.5	[0.0, 4.0]	stay	1.080	False
2	60	5.0	[0.0, -2.0]	go	1.280	False
2	60	3.5	[-2.0, 0.0]	stay	1.180	False
2	60	5.0	[0.0, 0.0]	go	1.200	False
2	60	3.5	[0.0, -2.0]	stay	1.200	False
2	60	5.0	[-2.0, 0.0]	go	0.800	False
2	60	3.5	[4.0, 4.0]	stay	1.040	False
2	30	3.5	[-2.0, 0.0]	go	1.220	False
2	30	3.5	[0.0, -2.0]	stay	0.940	False
2	30	3.5	[4.0, 0.0]	stay	1.220	False
2	60	3.5	[4.0, 0.0]	stay	1.060	False
2	30	3.5	[4.0, 0.0]	stay	1.840	False
2	30	5.0	[4.0, 0.0]	go	0.760	True
2	60	3.5	[4.0, 4.0]	stay	0.800	False
2	30	5.0	[0.0, 0.0]	go	0.920	False
2	60	5.0	[4.0, 4.0]	stay	1.500	False
2	30	3.5	[0.0, 0.0]	stay	2.360	False
2	30	5.0	[4.0, 4.0]	go	2.520	False
2	30	5.0	[0.0, 0.0]	stay	2.420	False
2	60	5.0	[4.0, 0.0]	stay	1.720	False
2	30	3.5	[4.0, 0.0]	stay	1.820	False
2	30	5.0	[-2.0, 0.0]	go	0.920	False
2	30	3.5	[0.0, 4.0]	stay	1.180	False
2	30	5.0	[4.0, 0.0]	stay	1.560	False
2	30	3.5	[-2.0, 0.0]	go	1.420	False
2	60	3.5	[4.0, 4.0]	stay	0.880	False
2	60	3.5	[-2.0, 0.0]	stay	1.160	False
2	30	3.5	[0.0, -2.0]	stay	1.480	False
2	30	5.0	[0.0, 4.0]	stay	1.620	False
2	30	5.0	[0.0, -2.0]	go	1.020	False
2	30	3.5	[0.0, 0.0]	stay	1.540	False
2	60	3.5	[0.0, -2.0]	stay	1.000	False
2	60	3.5	[0.0, 0.0]	stay	1.720	False
2	60	5.0	[0.0, 0.0]	go	0.940	False
2	60	3.5	[4.0, 0.0]	stay	2.220	False
2	60	3.5	[-2.0, -2.0]	go	1.520	False
2	30	3.5	[0.0, -2.0]	stay	1.600	False
2	30	5.0	[4.0, 4.0]	stay	1.480	False
2	30	5.0	[0.0, 4.0]	go	0.960	True
2	60	5.0	[-2.0, -2.0]	go	2.000	False
2	60	5.0	[-2.0, 0.0]	go	1.500	False
2	60	5.0	[-2.0, -2.0]	go	1.400	False
2	30	5.0	[-2.0, 0.0]	go	1.260	False
2	60	3.5	[0.0, 0.0]	stay	1.540	False
2	60	3.5	[-2.0, -2.0]	stay	1.900	False
2	60	3.5	[0.0, 4.0]	stay	1.360	False
2	60	3.5	[-2.0, -2.0]	go	1.840	False
2	30	3.5	[-2.0, 0.0]	go	1.380	False
2	30	5.0	[4.0, 4.0]	stay	1.400	False
2	60	3.5	[-2.0, 0.0]	go	1.880	False
2	30	3.5	[0.0, 0.0]	stay	1.960	False
2	60	3.5	[0.0, -2.0]	stay	1.520	False
2	30	3.5	[4.0, 0.0]	stay	1.040	False
2	60	5.0	[0.0, 4.0]	go	0.920	False
2	60	3.5	[0.0, 0.0]	stay	1.980	False
2	30	3.5	[-2.0, -2.0]	go	1.400	False
2	30	3.5	[0.0, 4.0]	stay	1.620	False
2	60	3.5	[-2.0, -2.0]	go	1.700	False
2	60	5.0	[4.0, 4.0]	stay	1.620	False
2	60	5.0	[-2.0, 0.0]	go	1.100	False
2	60	3.5	[0.0, 0.0]	stay	1.800	False
2	30	5.0	[0.0, 0.0]	go	1.480	False
2	60	3.5	[0.0, 0.0]	stay	1.640	False
2	60	3.5	[0.0, 4.0]	stay	1.540	False
2	30	5.0	[-2.0, -2.0]	go	0.860	False
2	60	3.5	[-2.0, -2.0]	go	2.100	False
2	30	3.5	[4.0, 4.0]	stay	1.580	False
2	30	5.0	[4.0, 4.0]	go	1.540	True
2	60	5.0	[0.0, 4.0]	stay	1.700	False
2	30	3.5	[-2.0, -2.0]	go	1.620	False
2	60	5.0	[0.0, 4.0]	stay	1.480	False
2	60	5.0	[4.0, 0.0]	stay	1.780	False
2	60	3.5	[0.0, 0.0]	stay	2.000	False
2	60	3.5	[4.0, 0.0]	stay	1.100	False
2	60	3.5	[-2.0, -2.0]	go	1.480	False
2	60	5.0	[0.0, 0.0]	go	1.540	False
2	30	3.5	[4.0, 0.0]	stay	1.280	False
2	30	5.0	[0.0, 0.0]	stay	3.120	False
2	30	5.0	[-2.0, 0.0]	go	1.600	False
2	30	3.5	[-2.0, 0.0]	go	1.240	False
2	60	5.0	[0.0, -2.0]	go	1.220	False
2	30	3.5	[4.0, 4.0]	stay	1.600	False
2	30	5.0	[0.0, 4.0]	stay	1.560	False
2	60	3.5	[-2.0, 0.0]	stay	1.840	False
2	60	5.0	[0.0, 4.0]	stay	1.800	False
2	30	5.0	[0.0, -2.0]	go	1.000	False
2	30	5.0	[0.0, 0.0]	stay	2.540	False
2	30	3.5	[0.0, 4.0]	stay	1.780	False
2	60	3.5	[0.0, 0.0]	stay	2.160	False
2	30	5.0	[-2.0, 0.0]	go	1.320	False
2	60	5.0	[0.0, 4.0]	stay	2.080	False
2	60	5.0	[-2.0, -2.0]	go	1.640	False
2	60	5.0	[4.0, 4.0]	stay	1.680	False
2	30	5.0	[4.0, 0.0]	stay	1.560	False
2	60	5.0	[0.0, -2.0]	go	0.620	False
2	30	3.5	[0.0, 0.0]	stay	1.740	False
2	60	5.0	[0.0, 0.0]	go	1.720	False
2	30	3.5	[-2.0, 0.0]	stay	1.740	False
2	60	5.0	[4.0, 4.0]	stay	1.760	False
2	30	5.0	[4.0, 4.0]	stay	1.600	False
2	60	3.5	[-2.0, -2.0]	go	1.620	False
2	60	5.0	[-2.0, 0.0]	go	1.700	False
2	60	5.0	[0.0, -2.0]	go	2.200	False
2	60	5.0	[-2.0, -2.0]	go	1.900	False
2	60	3.5	[-2.0, -2.0]	stay	1.000	False
2	60	3.5	[4.0, 4.0]	stay	1.060	False
2	30	3.5	[-2.0, 0.0]	go	1.660	False
2	30	5.0	[0.0, 4.0]	stay	1.420	False
2	60	5.0	[-2.0, -2.0]	go	1.820	False
2	60	5.0	[4.0, 4.0]	stay	2.420	False
2	30	3.5	[-2.0, 0.0]	go	1.260	False
2	60	3.5	[-2.0, 0.0]	go	1.680	False
2	60	3.5	[0.0, 4.0]	stay	1.660	False
2	60	5.0	[-2.0, 0.0]	go	1.620	False
2	30	3.5	[4.0, 4.0]	stay	1.380	False
2	30	5.0	[-2.0, -2.0]	go	1.720	False
2	30	3.5	[0.0, -2.0]	go	1.580	False
2	60	3.5	[-2.0, 0.0]	stay	2.080	False
2	30	3.5	[0.0, 0.0]	stay	1.200	False
2	60	5.0	[-2.0, -2.0]	go	1.500	False
2	30	3.5	[4.0, 4.0]	stay	1.140	False
2	30	3.5	[-2.0, 0.0]	go	1.500	False
2	60	5.0	[-2.0, 0.0]	go	2.920	False
2	60	3.5	[4.0, 0.0]	stay	1.080	False
2	60	3.5	[4.0, 0.0]	stay	1.720	False
2	60	5.0	[0.0, 0.0]	go	0.860	False
2	60	5.0	[0.0, 0.0]	go	0.860	False
2	30	3.5	[0.0, 0.0]	stay	2.080	False
2	60	5.0	[4.0, 0.0]	stay	1.740	False
2	60	3.5	[0.0, 4.0]	stay	0.980	False
2	30	3.5	[-2.0, -2.0]	go	0.620	False
2	30	5.0	[4.0, 0.0]	go	0.900	True
2	30	5.0	[-2.0, 0.0]	go	1.540	False
2	60	3.5	[0.0, 0.0]	stay	1.920	False
2	60	5.0	[0.0, -2.0]	stay	2.860	False
2	30	3.5	[0.0, 0.0]	stay	2.360	False
2	60	5.0	[0.0, 0.0]	stay	1.880	False
2	60	3.5	[0.0, -2.0]	stay	1.300	False
2	60	5.0	[4.0, 0.0]	stay	1.520	False
2	60	3.5	[4.0, 4.0]	stay	2.300	False
2	30	5.0	[4.0, 0.0]	go	0.760	True
2	30	3.5	[0.0, 4.0]	stay	1.460	False
2	60	5.0	[0.0, -2.0]	go	0.800	False
2	60	3.5	[0.0, 0.0]	stay	1.180	False
2	30	5.0	[-2.0, -2.0]	go	0.900	False
2	60	3.5	[0.0, 0.0]	stay	1.180	False
2	60	3.5	[4.0, 0.0]	stay	0.960	False
2	60	3.5	[-2.0, -2.0]	stay	2.040	False
2	30	3.5	[-2.0, 0.0]	stay	1.360	False
2	30	5.0	[4.0, 0.0]	stay	1.500	False
2	60	5.0	[4.0, 0.0]	stay	1.740	False
2	30	5.0	[0.0, 4.0]	stay	1.480	False
2	30	3.5	[0.0, -2.0]	go	1.620	False
2	30	5.0	[0.0, -2.0]	go	1.580	False
2	60	5.0	[-2.0, -2.0]	go	1.860	False
2	60	5.0	[4.0, 0.0]	stay	1.600	False
2	60	5.0	[4.0, 4.0]	stay	2.420	False
2	60	3.5	[-2.0, 0.0]	go	1.600	False
2	30	3.5	[0.0, 0.0]	stay	1.720	False
2	30	3.5	[-2.0, 0.0]	go	1.140	False
2	60	5.0	[0.0, -2.0]	go	1.820	False
2	30	5.0	[-2.0, 0.0]	go	1.700	False
2	30	5.0	[-2.0, 0.0]	go	1.160	False
2	60	5.0	[0.0, 4.0]	stay	1.720	False
2	30	3.5	[0.0, 4.0]	stay	1.420	False
2	60	5.0	[0.0, -2.0]	go	1.580	False
2	30	3.5	[-2.0, -2.0]	go	1.180	False
2	60	3.5	[-2.0, 0.0]	stay	1.440	False
2	60	5.0	[4.0, 0.0]	stay	1.360	False
2	60	3.5	[4.0, 4.0]	stay	0.940	False
2	30	3.5	[0.0, 4.0]	stay	1.300	False
2	60	3.5	[0.0, -2.0]	stay	1.380	False
2	30	3.5	[0.0, 0.0]	go	1.700	True
2	30	3.5	[-2.0, 0.0]	stay	1.380	False
2	60	5.0	[-2.0, -2.0]	go	2.080	False
2	60	5.0	[-2.0, 0.0]	go	2.780	False
2	30	5.0	[0.0, 4.0]	stay	1.780	False
2	60	5.0	[-2.0, 0.0]	go	2.620	False
2	30	5.0	[4.0, 4.0]	stay	1.760	False
2	30	3.5	[0.0, 0.0]	go	1.720	True
2	30	5.0	[0.0, 4.0]	stay	1.780	False
2	60	5.0	[4.0, 0.0]	stay	1.300	False
2	60	3.5	[0.0, 0.0]	stay	2.160	False
2	60	5.0	[-2.0, -2.0]	go	1.640	False
2	60	3.5	[4.0, 4.0]	stay	1.380	False
2	30	5.0	[4.0, 4.0]	stay	1.300	False
2	60	5.0	[4.0, 4.0]	stay	1.740	False
2	30	3.5	[0.0, 0.0]	stay	2.500	False
2	60	5.0	[0.0, 0.0]	stay	1.540	False
2	30	5.0	[0.0, -2.0]	go	1.580	False
2	30	3.5	[-2.0, -2.0]	go	1.520	False
2	30	5.0	[4.0, 0.0]	stay	1.360	False
2	30	5.0	[0.0, 4.0]	stay	1.920	False
2	60	5.0	[-2.0, 0.0]	go	2.440	False
2	60	5.0	[4.0, 0.0]	stay	1.460	False
2	60	5.0	[-2.0, -2.0]	go	1.480	False
2	30	3.5	[0.0, -2.0]	go	2.080	False
2	30	5.0	[-2.0, -2.0]	go	1.300	False
2	60	5.0	[4.0, 4.0]	stay	1.700	False
2	60	3.5	[0.0, -2.0]	stay	1.540	False
2	60	5.0	[-2.0, 0.0]	go	1.000	False
2	30	5.0	[0.0, 4.0]	stay	1.140	False
2	60	5.0	[4.0, 4.0]	go	2.820	False
2	30	5.0	[0.0, -2.0]	go	1.120	False
2	30	3.5	[0.0, -2.0]	go	1.660	False
