participant_id	d_condition	tau_condition	a_condition	is_test_trial	decision	RT	collision	pet
1	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	None	-1.000	False	nan
1	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	go	1.250	False	nan
1	30	4.5	[0.0, 0.0, 0.0, 0.0]	False	None	-1.000	False	nan
1	30	4.5	[0.0, 3.0, 0.0, 0.0]	False	None	-1.000	False	nan
1	30	4.5	[0.0, 3.0, 3.0, 0.0]	False	go	0.717	False	-0.0667
1	30	4.5	[0.0, 3.0, -3.0, 0.0]	False	go	1.267	False	0.1
1	30	4.5	[0.0, -3.0, 0.0, 0.0]	False	go	3.700	False	nan
1	30	4.5	[0.0, -3.0, 3.0, 0.0]	False	go	1.050	False	0.55
1	30	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	1.583	False	nan
1	45	4.5	[0.0, 0.0, 0.0, 0.0]	False	go	2.633	True	nan
1	45	4.5	[0.0, 3.0, 0.0, 0.0]	False	go	1.867	True	nan
1	45	4.5	[0.0, 3.0, 3.0, 0.0]	False	go	3.217	False	nan
1	45	4.5	[0.0, 3.0, -3.0, 0.0]	False	go	2.483	True	nan
1	45	4.5	[0.0, -3.0, 0.0, 0.0]	False	go	1.133	False	1.1833
1	45	4.5	[0.0, -3.0, 3.0, 0.0]	False	go	2.083	True	nan
1	45	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.750	False	nan
1	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	3.450	False	nan
1	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.917	False	0.6833
1	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	1.067	False	0.4167
1	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	2.183	False	nan
1	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	stay	2.467	False	nan
1	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.600	False	0.05
1	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.650	False	1.1
1	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	1.483	False	nan
1	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	2.967	True	nan
1	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	1.750	False	nan
1	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.867	False	1.45
1	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	1.133	False	0.2
1	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	stay	2.467	False	nan
1	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.333	False	1.0333
1	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	stay	2.233	False	nan
1	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	1.550	True	nan
1	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	stay	2.100	False	nan
1	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.950	False	0.8833
