tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.32810886387154675,0.48642742926885507,1.5398875077279508,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.31611456517664294,0.4590504083721982,1.4496570663929456,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.3165018017098119,0.4610493577093036,1.461317098201399,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.35396828767005145,0.5441665419009168,1.6800742129586599,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.369699092331389,0.6284819052853666,1.790837468739972,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4697181332527919,0.5426709819871844,1.8337969518019268,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.43844119304366624,0.4856979822714597,1.6390700255410042,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.4401689100508245,0.49246315511140404,1.6773420407756527,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.5505061737003348,0.666794447757446,2.121906973656617,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.7351496974478756,1.2067359787496879,1.7100448442315799,all
