tta_0,d_0,a_values,a_duration,is_gap_accepted,RT_go,RT_stay,subj_id
4.0,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.08235774977307733,0.6185717605278738,0.9985973423716483,all
4.0,70.0,"(0.0, 4, 4, 0.0)",1.0,0.0725561180409411,0.5871427570744306,0.9519338741197759,all
4.0,70.0,"(0.0, 4, -4, 0.0)",1.0,0.07261138464801611,0.5878567708321141,0.9539910161102951,all
4.0,70.0,"(0.0, -4, 4, 0.0)",1.0,0.09995070235758781,0.6729958234238426,1.0685398028329336,all
4.0,70.0,"(0.0, -4, -4, 0.0)",1.0,0.10119492097759934,0.6860697363975655,1.0845664419835748,all
4.0,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.2144605232408033,0.6467868781390689,1.2340976116689581,all
4.0,80.0,"(0.0, 4, 4, 0.0)",1.0,0.19086906386643937,0.6140573350696992,1.1648676225128547,all
4.0,80.0,"(0.0, 4, -4, 0.0)",1.0,0.1911879733225047,0.6156391589934841,1.1714274755202898,all
4.0,80.0,"(0.0, -4, 4, 0.0)",1.0,0.251891689106257,0.6951737653538542,1.3229132003163522,all
4.0,80.0,"(0.0, -4, -4, 0.0)",1.0,0.25565140565341155,0.71088006273518,1.356824572911514,all
4.0,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.42581681391789084,0.6532535111698301,1.481433183834591,all
4.0,90.0,"(0.0, 4, 4, 0.0)",1.0,0.38800336483611103,0.623740808729592,1.3897271428162892,all
4.0,90.0,"(0.0, 4, -4, 0.0)",1.0,0.38902764419905905,0.6263113769600469,1.4049710017611197,all
4.0,90.0,"(0.0, -4, 4, 0.0)",1.0,0.4779009397727883,0.6901823928669719,1.5802697263749732,all
4.0,90.0,"(0.0, -4, -4, 0.0)",1.0,0.48486969327449764,0.7060360974256479,1.6379213166287883,all
4.25,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.09917475218508674,0.6362465826082511,1.0512248335655232,all
4.25,70.0,"(0.0, 4, 4, 0.0)",1.0,0.0860800485478252,0.5990086357384468,0.9941571007391347,all
4.25,70.0,"(0.0, 4, -4, 0.0)",1.0,0.08617842098529585,0.6000908575256725,0.9972295605892314,all
4.25,70.0,"(0.0, -4, 4, 0.0)",1.0,0.12450594232371232,0.7038162915249979,1.1395559497875982,all
4.25,70.0,"(0.0, -4, -4, 0.0)",1.0,0.12762131040887792,0.7310737154862971,1.169398327359459,all
4.25,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.2503699219494994,0.6639045272776798,1.3029884908023348,all
4.25,80.0,"(0.0, 4, 4, 0.0)",1.0,0.22039342432536832,0.6257388974264408,1.2192985978779467,all
4.25,80.0,"(0.0, 4, -4, 0.0)",1.0,0.22092369982652335,0.6280513608202862,1.2287043928715604,all
4.25,80.0,"(0.0, -4, 4, 0.0)",1.0,0.30003450361519857,0.7210839586310867,1.410444773558746,all
4.25,80.0,"(0.0, -4, -4, 0.0)",1.0,0.3078101355597933,0.7493525099228249,1.4667775786882489,all
4.25,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4765404070326502,0.6660657625920738,1.564048594559752,all
4.25,90.0,"(0.0, 4, 4, 0.0)",1.0,0.43192807970186375,0.6327263942687849,1.4544720345707345,all
4.25,90.0,"(0.0, 4, -4, 0.0)",1.0,0.43348308564503946,0.6363095523894047,1.4754476554471614,all
4.25,90.0,"(0.0, -4, 4, 0.0)",1.0,0.5386094469698537,0.7068393025895957,1.6789085991821604,all
4.25,90.0,"(0.0, -4, -4, 0.0)",1.0,0.5505362575468137,0.7319701927807949,1.7665896096475788,all
4.5,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.11982308719399862,0.6527747490065942,1.1029806106628854,all
4.5,70.0,"(0.0, 4, 4, 0.0)",1.0,0.10248708048336598,0.6092556222956812,1.0342926634534695,all
4.5,70.0,"(0.0, 4, -4, 0.0)",1.0,0.1026544317263394,0.6108206159936375,1.0386796297674616,all
4.5,70.0,"(0.0, -4, 4, 0.0)",1.0,0.15591265625932868,0.7348559180412163,1.2120527849137697,all
4.5,70.0,"(0.0, -4, -4, 0.0)",1.0,0.1636298839161787,0.7909646248560825,1.2650590775455888,all
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.2912884097179189,0.6790401919612785,1.3695350894063822,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.25385560527046896,0.6352560561603237,1.2701022265867565,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.2546934721478829,0.6384835444310927,1.283018487480536,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.3556236638819192,0.7447796162729081,1.4961804510660313,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.3709686485263816,0.7936961282398233,1.5847384244019955,all
4.5,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5287196900750928,0.6757153898829756,1.6424687460169478,all
4.5,90.0,"(0.0, 4, 4, 0.0)",1.0,0.4774465324936604,0.638862568770814,1.5139354212736982,all
