tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.25949645226349943,0.586748204357193,0.5728154239868622,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.24468570567687659,0.5620535685279727,0.5745029854375331,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.24472150209132965,0.5622371724960611,0.5744979257281478,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.2911208387764101,0.6390693611286729,0.5601924535002192,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.293547520886396,0.6508027314434636,0.5556258159320041,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5602588741494597,0.6024537409100288,0.6068961470855634,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.5224717665840405,0.570543803690517,0.6376983989856685,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.5228061777799615,0.5714053641017226,0.637248967011872,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.6230834453829813,0.639739394978933,0.5206664574491466,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.6249639725468137,0.6430074956491844,0.5129623840996872,all
