tta_0,d_0,a_values,a_duration,is_gap_accepted,RT_go,RT_stay,subj_id
4.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.3075013798271771,0.38080492172849556,0.382274065474961,all
4.5,80,"(0.0, 4, 4, 0.0)",1.0,0.3075013798271771,0.38080492172849556,0.382274065474961,all
4.5,80,"(0.0, 4, -4, 0.0)",1.0,0.3075013798271771,0.38080492172849556,0.382274065474961,all
4.5,80,"(0.0, -4, 4, 0.0)",1.0,0.3075013798271771,0.38080492172849556,0.382274065474961,all
4.5,80,"(0.0, -4, -4, 0.0)",1.0,0.33866872888568667,0.37996073393185625,0.3837828152845984,all
5.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5184512815959903,0.5558727665985289,0.5925890739217543,all
5.5,80,"(0.0, 4, 4, 0.0)",1.0,0.40188207105784635,0.5158284410652568,0.5547973652505128,all
5.5,80,"(0.0, 4, -4, 0.0)",1.0,0.40188207105784635,0.5158284410652568,0.5547973652505128,all
5.5,80,"(0.0, -4, 4, 0.0)",1.0,0.6999577053663972,0.7913954519241787,1.1549199033597919,all
5.5,80,"(0.0, -4, -4, 0.0)",1.0,0.7549110184523222,1.1292893897110712,1.307758813221213,all
