tta_0,d_0,a_values,a_duration,is_gap_accepted,RT_go,RT_stay,subj_id
4.0,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.1050646675974811,0.6387027694068576,1.1204640376526946,all
4.0,70.0,"(0.0, 4, 4, 0.0)",1.0,0.0923984195352416,0.597627025161155,1.0623528437859864,all
4.0,70.0,"(0.0, 4, -4, 0.0)",1.0,0.09260015470579347,0.5998344467932673,1.0671880612906062,all
4.0,70.0,"(0.0, -4, 4, 0.0)",1.0,0.12756031423765085,0.7043252001602183,1.202023135825001,all
4.0,70.0,"(0.0, -4, -4, 0.0)",1.0,0.13092396896716602,0.7342044041011014,1.233675098751843,all
4.0,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.23107728865007185,0.6636773956433195,1.3543159902144162,all
4.0,80.0,"(0.0, 4, 4, 0.0)",1.0,0.20579395837254588,0.622893190175477,1.275307066593968,all
4.0,80.0,"(0.0, 4, -4, 0.0)",1.0,0.20652138608774212,0.6265060447606785,1.2864942317120565,all
4.0,80.0,"(0.0, -4, 4, 0.0)",1.0,0.2703324327090991,0.7190371015770314,1.4481611437336865,all
4.0,80.0,"(0.0, -4, -4, 0.0)",1.0,0.2772181299148873,0.7479497140875043,1.4990911555183566,all
4.0,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4184763609802647,0.6682341702757559,1.5924971843632894,all
4.0,90.0,"(0.0, 4, 4, 0.0)",1.0,0.3806666625262465,0.6315810151179886,1.4932176925328506,all
4.0,90.0,"(0.0, 4, -4, 0.0)",1.0,0.3824246294137421,0.6364244460813092,1.5141971456748402,all
4.0,90.0,"(0.0, -4, 4, 0.0)",1.0,0.4696806548192105,0.710652095266587,1.6919849364122281,all
4.0,90.0,"(0.0, -4, -4, 0.0)",1.0,0.4801221750273739,0.7366022670282739,1.7648016542502725,all
4.25,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.12410401996537815,0.6595194996599231,1.1799763267518428,all
4.25,70.0,"(0.0, 4, 4, 0.0)",1.0,0.10750620964147961,0.611228139128083,1.10955855958373,all
4.25,70.0,"(0.0, 4, -4, 0.0)",1.0,0.10783267211684973,0.6143355582261535,1.1163551507830893,all
4.25,70.0,"(0.0, -4, 4, 0.0)",1.0,0.15552890940873848,0.7386210763111613,1.2805831365632823,all
4.25,70.0,"(0.0, -4, -4, 0.0)",1.0,0.16301928236312208,0.7947699075961594,1.334448243105462,all
4.25,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.266451591190234,0.6834734330684947,1.4279987801215348,all
4.25,80.0,"(0.0, 4, 4, 0.0)",1.0,0.234600073980839,0.6361375001262057,1.3331383049896757,all
4.25,80.0,"(0.0, 4, -4, 0.0)",1.0,0.23572442794900028,0.6411166313001161,1.34846391843628,all
4.25,80.0,"(0.0, -4, 4, 0.0)",1.0,0.3176825594882843,0.7475283654755961,1.539662398897528,all
4.25,80.0,"(0.0, -4, -4, 0.0)",1.0,0.33078473147994014,0.7957827171602688,1.6189966072108657,all
4.25,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.46745303310593794,0.6839188416662403,1.678279701066922,all
4.25,90.0,"(0.0, 4, 4, 0.0)",1.0,0.4224155953164561,0.6423779594208648,1.5602270942049363,all
4.25,90.0,"(0.0, 4, -4, 0.0)",1.0,0.42496712267641884,0.6488533590382913,1.5882027977474675,all
4.25,90.0,"(0.0, -4, 4, 0.0)",1.0,0.5289118200704869,0.7304486631195981,1.7927770387294206,all
4.25,90.0,"(0.0, -4, -4, 0.0)",1.0,0.5460520324071867,0.7697114863598532,1.898726101015581,all
4.5,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.1456251042850092,0.6802305781466238,1.2420042745999622,all
4.5,70.0,"(0.0, 4, 4, 0.0)",1.0,0.12417061133722504,0.6240157503073235,1.1573858813062907,all
4.5,70.0,"(0.0, 4, -4, 0.0)",1.0,0.12467961099798884,0.6282636862195905,1.1667424311751602,all
4.5,70.0,"(0.0, -4, 4, 0.0)",1.0,0.1888276774626474,0.7737391328693044,1.3642624194767903,all
4.5,70.0,"(0.0, -4, -4, 0.0)",1.0,0.2052974623458742,0.8778122591932948,1.452565640110409,all
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.3045767428116957,0.7024719180775892,1.5038469089947626,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.26511998233081696,0.6481779110168254,1.391027745214602,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.26679071473104377,0.6548374808974344,1.4115526416724151,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.36994057648680684,0.7748823849798934,1.6344472300871333,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.3939205260569629,0.8529125147968672,1.753101779589334,all
4.5,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5168301304993078,0.6978691247617351,1.7655270072517297,all
4.5,90.0,"(0.0, 4, 4, 0.0)",1.0,0.4642639236392099,0.6514953589064122,1.6266005686552818,all
4.5,90.0,"(0.0, 4, -4, 0.0)",1.0,0.4678164826415887,0.6598873669031459,1.663141053056592,all
4.5,90.0,"(0.0, -4, 4, 0.0)",1.0,0.5884893181728952,0.7473637893509922,1.8947986609471148,all
4.5,90.0,"(0.0, -4, -4, 0.0)",1.0,0.615112436996241,0.8042640592516958,2.042519939347038,all
4.75,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.17126473924944058,0.6990983773039925,1.3018576607898071,all
4.75,70.0,"(0.0, 4, 4, 0.0)",1.0,0.14381711963063368,0.6345616669433026,1.201819566364979,all
4.75,70.0,"(0.0, 4, -4, 0.0)",1.0,0.1445863269943042,0.6401846121947927,1.214279194026344,all
4.75,70.0,"(0.0, -4, 4, 0.0)",1.0,0.22973581357756523,0.8069579807772349,1.4468547542287578,all
4.75,70.0,"(0.0, -4, -4, 0.0)",1.0,0.26528666590395533,0.9934091328340362,1.5798623317396219,all
4.75,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.3471858351082737,0.7187557757756117,1.575902747251518,all
4.75,80.0,"(0.0, 4, 4, 0.0)",1.0,0.2991202729012876,0.6574780444443896,1.4440680197749236,all
4.75,80.0,"(0.0, 4, -4, 0.0)",1.0,0.3015148408922412,0.6661003495352412,1.4706833056532596,all
4.75,80.0,"(0.0, -4, 4, 0.0)",1.0,0.4285010425629826,0.7982831545756307,1.724661977668431,all
4.75,80.0,"(0.0, -4, -4, 0.0)",1.0,0.4703061174108286,0.9187857947745521,1.8892471865163243,all
4.75,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.567637675618725,0.7080332056387575,1.8471692059628972,all
4.75,90.0,"(0.0, 4, 4, 0.0)",1.0,0.507704451226061,0.6573123360883535,1.6867018665897544,all
4.75,90.0,"(0.0, 4, -4, 0.0)",1.0,0.5124517841237244,0.6678248722493795,1.7329697228702523,all
4.75,90.0,"(0.0, -4, 4, 0.0)",1.0,0.6483660895637424,0.7586584312641336,1.988896905853244,all
4.75,90.0,"(0.0, -4, -4, 0.0)",1.0,0.687006772602232,0.8365364172351756,2.1799974428106017,all
5.0,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.19826450827045716,0.7192779260936203,1.3686993168269266,all
5.0,70.0,"(0.0, 4, 4, 0.0)",1.0,0.1637502951701378,0.6455835643114335,1.2504109973377058,all
5.0,70.0,"(0.0, 4, -4, 0.0)",1.0,0.1648769621199692,0.6529169694141678,1.2669181540551975,all
5.0,70.0,"(0.0, -4, 4, 0.0)",1.0,0.2756715705920999,0.8413523715965607,1.5391087617976589,all
5.0,70.0,"(0.0, -4, -4, 0.0)",1.0,0.3499574772039109,1.1590654104454594,1.7153385147551818,all
5.0,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.39003117463953013,0.735616824055853,1.6555107984838684,all
5.0,80.0,"(0.0, 4, 4, 0.0)",1.0,0.3324715077936986,0.6669663183282517,1.5014982417392677,all
5.0,80.0,"(0.0, 4, -4, 0.0)",1.0,0.3358012566032896,0.677953036739524,1.5358648063020917,all
5.0,80.0,"(0.0, -4, 4, 0.0)",1.0,0.48866007229256975,0.8209312983130244,1.823175837933785,all
5.0,80.0,"(0.0, -4, -4, 0.0)",1.0,0.5578496478997825,0.9987797861737375,2.0341373088175576,all
5.0,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.6153610163198147,0.7178715416118926,1.9364982304251888,all
5.0,90.0,"(0.0, 4, 4, 0.0)",1.0,0.5482064133886432,0.6629918248547465,1.7513155280135742,all
5.0,90.0,"(0.0, 4, -4, 0.0)",1.0,0.5543662804192512,0.67593243935145,1.8096035613937809,all
5.0,90.0,"(0.0, -4, 4, 0.0)",1.0,0.7037764133094899,0.7678444790161677,2.08983157324286,all
5.0,90.0,"(0.0, -4, -4, 0.0)",1.0,0.7563737281438145,0.8689705184773658,2.3199326741276955,all
5.25,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.2280677985007211,0.7390659620856577,1.438100446970126,all
5.25,70.0,"(0.0, 4, 4, 0.0)",1.0,0.18524344683005114,0.6556960799555359,1.2993154073162858,all
5.25,70.0,"(0.0, 4, -4, 0.0)",1.0,0.18685084449696107,0.6650774549587223,1.320838283738092,all
5.25,70.0,"(0.0, -4, 4, 0.0)",1.0,0.3283802193888537,0.8739389540419296,1.634767816211897,all
5.25,70.0,"(0.0, -4, -4, 0.0)",1.0,0.4712298456231762,1.3562598542036035,1.7745935433440834,all
5.25,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4346086433696288,0.7511822486272401,1.7370671040807368,all
5.25,80.0,"(0.0, 4, 4, 0.0)",1.0,0.36680655099813403,0.6751645836170943,1.5586587559600995,all
5.25,80.0,"(0.0, 4, -4, 0.0)",1.0,0.371308299027047,0.6888850777860634,1.6023388587952492,all
5.25,80.0,"(0.0, -4, 4, 0.0)",1.0,0.551018736524453,0.8400021944231539,1.9223196221105487,all
5.25,80.0,"(0.0, -4, -4, 0.0)",1.0,0.6568543227513057,1.0830097831334378,2.140900685278288,all
5.25,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.6611484238037489,0.7254219248950504,2.0268092369740267,all
5.25,90.0,"(0.0, 4, 4, 0.0)",1.0,0.5873833450712509,0.666991120538194,1.8150655215049718,all
5.25,90.0,"(0.0, 4, -4, 0.0)",1.0,0.5951384092409285,0.6825745552497521,1.8873744211735988,all
5.25,90.0,"(0.0, -4, 4, 0.0)",1.0,0.7548580802179061,0.7724344054493452,2.1886266051751453,all
5.25,90.0,"(0.0, -4, -4, 0.0)",1.0,0.8205806093897924,0.8939687546864058,2.421499217018952,all
5.5,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.26067948957313736,0.7583314600729304,1.5100421427646475,all
5.5,70.0,"(0.0, 4, 4, 0.0)",1.0,0.20824783344350417,0.6648763963953787,1.3484086945994271,all
5.5,70.0,"(0.0, 4, -4, 0.0)",1.0,0.2104868585190476,0.6766737840285563,1.3760555369411909,all
5.5,70.0,"(0.0, -4, 4, 0.0)",1.0,0.387671899794686,0.9035510412773264,1.7326230131297944,all
5.5,70.0,"(0.0, -4, -4, 0.0)",1.0,0.6193059059520862,1.5076212496823436,1.5749972872313336,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4803933907848393,0.7652567422241244,1.8204327751150156,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.401828787687813,0.6820607882681042,1.6154354721613757,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.40776042954904135,0.698887444805018,1.6701441883734165,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.6138885341761627,0.8546589608331113,2.020756672933842,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.758284731304776,1.151169742110913,2.105512289454176,all
5.5,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.7042872031565962,0.730524776367167,2.117881016008771,all
5.5,90.0,"(0.0, 4, 4, 0.0)",1.0,0.6248466090291521,0.6693406726012411,1.8779148887702126,all
5.5,90.0,"(0.0, 4, -4, 0.0)",1.0,0.6343420225113167,0.6877304892748776,1.9663124316093288,all
5.5,90.0,"(0.0, -4, 4, 0.0)",1.0,0.8002949514227856,0.7721137018542816,2.2835858110715193,all
5.5,90.0,"(0.0, -4, -4, 0.0)",1.0,0.8741876070842292,0.9040278036686239,2.410338320388742,all
5.75,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.2978564709867449,0.7749665349948551,1.578159530081317,all
5.75,70.0,"(0.0, 4, 4, 0.0)",1.0,0.23446445288887252,0.6715980260783424,1.3929486574718426,all
5.75,70.0,"(0.0, 4, -4, 0.0)",1.0,0.23751425345888358,0.6861086922958092,1.4275529801588558,all
5.75,70.0,"(0.0, -4, 4, 0.0)",1.0,0.45441863194992926,0.9265485557896753,1.8223201582605546,all
5.75,70.0,"(0.0, -4, -4, 0.0)",1.0,0.7419654991935379,1.5026209786977136,1.1508997953160987,all
5.75,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5285862884238114,0.7755495650691963,1.8976252370673434,all
5.75,80.0,"(0.0, 4, 4, 0.0)",1.0,0.43925958702254864,0.6860079163520731,1.6661124896797403,all
5.75,80.0,"(0.0, 4, -4, 0.0)",1.0,0.44686543323919764,0.7061685692742574,1.7328999402561003,all
5.75,80.0,"(0.0, -4, 4, 0.0)",1.0,0.6765316905531485,0.8617209691666478,2.1063969507693114,all
5.75,80.0,"(0.0, -4, -4, 0.0)",1.0,0.8431968217635253,1.1669032110991362,1.7530218133684081,all
5.75,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.7451832520829605,0.730905939046711,2.200042012508256,all
5.75,90.0,"(0.0, 4, 4, 0.0)",1.0,0.6617708136374229,0.6683307447261847,1.933310644577282,all
5.75,90.0,"(0.0, 4, -4, 0.0)",1.0,0.6730272976143915,0.6894688083920947,2.038715197435915,all
5.75,90.0,"(0.0, -4, 4, 0.0)",1.0,0.8395308588151512,0.7644493847775642,2.360116441594864,all
5.75,90.0,"(0.0, -4, -4, 0.0)",1.0,0.9118376957311646,0.888407137609783,2.12595271469772,all
6.0,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.3358404816123535,0.7926454994008038,1.6545277585019393,all
6.0,70.0,"(0.0, 4, 4, 0.0)",1.0,0.2603128268323226,0.6788429345071109,1.4419328847508814,all
6.0,70.0,"(0.0, 4, -4, 0.0)",1.0,0.26438353724663444,0.6965654714619284,1.4852581528810103,all
6.0,70.0,"(0.0, -4, 4, 0.0)",1.0,0.5236860644722493,0.9465623369609156,1.918570588707182,all
6.0,70.0,"(0.0, -4, -4, 0.0)",1.0,0.8116359420729155,1.3896295563931629,0.9482717764386822,all
6.0,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5747876965576577,0.7859484208271235,1.9836188358226396,all
6.0,80.0,"(0.0, 4, 4, 0.0)",1.0,0.4746784129656968,0.6902698189934734,1.7216875476220905,all
6.0,80.0,"(0.0, 4, -4, 0.0)",1.0,0.48424584486717037,0.7142192004624847,1.8032351955786754,all
6.0,80.0,"(0.0, -4, 4, 0.0)",1.0,0.7341666838327275,0.8654119889365022,2.196928486728634,all
6.0,80.0,"(0.0, -4, -4, 0.0)",1.0,0.8963548839955039,1.125217793444989,1.2325640335028798,all
6.0,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.781061662028313,0.730716110641589,2.2909194849278025,all
6.0,90.0,"(0.0, 4, 4, 0.0)",1.0,0.6947290853208734,0.66750732102702,1.99398326238563,all
6.0,90.0,"(0.0, 4, -4, 0.0)",1.0,0.707829363828451,0.6915430980290111,2.119620366531676,all
6.0,90.0,"(0.0, -4, 4, 0.0)",1.0,0.8710659824464775,0.7543075307172068,2.4380855984204683,all
6.0,90.0,"(0.0, -4, -4, 0.0)",1.0,0.9332097591272165,0.8542319833293072,1.5671356903954259,all
