tta_0,d_0,a_1,a_2,is_gap_accepted,RT_go,RT_stay,subj_id
4.0,70.0,-4.0,-4.0,0.10833027707700682,0.7701639042760247,1.216925667679619,all
4.0,70.0,-4.0,0.0,0.10694754840236824,0.757057655647254,1.2001803537775804,all
4.0,70.0,-4.0,4.0,0.10623530544210101,0.7508915748673136,1.1906338325842623,all
4.0,70.0,0.0,-4.0,0.08574283648618472,0.7000317676909694,1.1153323502246897,all
4.0,70.0,0.0,0.0,0.0855013567150852,0.6974282548640659,1.110158692784048,all
4.0,70.0,0.0,4.0,0.08532780272450904,0.6956390608590697,1.1062949768306174,all
4.0,70.0,4.0,-4.0,0.07357000368405922,0.6650731806420499,1.0566023608439674,all
4.0,70.0,4.0,0.0,0.07349751265519837,0.6642087108958654,1.0542556360593256,all
4.0,70.0,4.0,4.0,0.0734380363666708,0.6635175098583905,1.0522792577475604,all
4.0,80.0,-4.0,-4.0,0.26621615178662283,0.7899161345062442,1.5005261618633559,all
4.0,80.0,-4.0,0.0,0.26258724572599046,0.7758505556246208,1.4695696995290095,all
4.0,80.0,-4.0,4.0,0.2604703670859615,0.7682279018132139,1.4500554138840995,all
4.0,80.0,0.0,-4.0,0.21967716083223318,0.7267491600236475,1.365056539192013,all
4.0,80.0,0.0,0.0,0.2187127878476702,0.7226240967632366,1.3525677359439092,all
4.0,80.0,0.0,4.0,0.21800170206716948,0.7197094056664657,1.3430396210677367,all
4.0,80.0,4.0,-4.0,0.1915788596218472,0.6911489963376916,1.2809761426977657,all
4.0,80.0,4.0,0.0,0.19121886578616556,0.6894754460433905,1.274511438472153,all
4.0,80.0,4.0,4.0,0.19092314790591522,0.6881371675711967,1.2690644010033154,all
4.0,90.0,-4.0,-4.0,0.4889739739805774,0.7797003659667506,1.7877902121447837,all
4.0,90.0,-4.0,0.0,0.48305700087563497,0.766787590842943,1.7404890387730718,all
4.0,90.0,-4.0,4.0,0.47927922147773966,0.7590452178586317,1.7084491608540802,all
4.0,90.0,0.0,-4.0,0.4266808208735451,0.7309261696929686,1.626831514077319,all
4.0,90.0,0.0,0.0,0.42446771615421075,0.7258682088544378,1.6037166999038195,all
4.0,90.0,0.0,4.0,0.4227953774058358,0.7221961630192045,1.585735402186519,all
4.0,90.0,4.0,-4.0,0.3837841570343819,0.6999164767045816,1.5200739519181259,all
4.0,90.0,4.0,0.0,0.38276954838189775,0.6974822002970124,1.506754495278376,all
4.0,90.0,4.0,4.0,0.38193254913152674,0.6955275904082551,1.4955350634492424,all
4.25,70.0,-4.0,-4.0,0.13612418505380053,0.814107719719356,1.3025849378957979,all
4.25,70.0,-4.0,0.0,0.13285474180846069,0.7879693677912712,1.2730603502127815,all
4.25,70.0,-4.0,4.0,0.13145415957009157,0.7779720725434393,1.2582412415781807,all
4.25,70.0,0.0,-4.0,0.10313069616492009,0.7176829425288529,1.1677653849529117,all
4.25,70.0,0.0,0.0,0.10268151312782665,0.713544779023161,1.1599375033272812,all
4.25,70.0,0.0,4.0,0.10237982654864536,0.710913017315518,1.1544254543864052,all
4.25,70.0,4.0,-4.0,0.08718815559081475,0.6761906260341484,1.0969007836188553,all
4.25,70.0,4.0,0.0,0.08706604588016163,0.6749425689409397,1.0936107155736805,all
4.25,70.0,4.0,4.0,0.08696887420500209,0.6739791421080866,1.0909160755549532,all
4.25,80.0,-4.0,-4.0,0.3183796920806358,0.8263740503955199,1.6102314156226851,all
4.25,80.0,-4.0,0.0,0.3112656290534953,0.8020025129456201,1.5611900116382,all
4.25,80.0,-4.0,4.0,0.3076270230605031,0.7905915871670802,1.5329454011866215,all
4.25,80.0,0.0,-4.0,0.2558194395338721,0.7443465845800271,1.436121088372215,all
4.25,80.0,0.0,0.0,0.2541839684816984,0.7381399014470746,1.418144190376421,all
4.25,80.0,0.0,4.0,0.253047586733692,0.7340415405587645,1.4051095085657874,all
4.25,80.0,4.0,-4.0,0.22076938226084364,0.7026086480322999,1.3353633546683326,all
4.25,80.0,4.0,0.0,0.22020066579308398,0.7002655469575254,1.3265997678002988,all
4.25,80.0,4.0,4.0,0.21974729109480856,0.6984554630085361,1.3194108067046673,all
4.25,90.0,-4.0,-4.0,0.550922614094416,0.8032268853778264,1.9152168580908626,all
4.25,90.0,-4.0,0.0,0.5412929948320004,0.7834549248815386,1.8461157101807293,all
4.25,90.0,-4.0,4.0,0.5357015351596462,0.7727988232387498,1.8022808374015453,all
4.25,90.0,0.0,-4.0,0.4759070416651149,0.7442940251003209,1.7146875164607456,all
4.25,90.0,0.0,0.0,0.4725622240802249,0.7371641993723645,1.682878852980881,all
4.25,90.0,0.0,4.0,0.4701593784989274,0.7322789017419365,1.6592137119094243,all
4.25,90.0,4.0,-4.0,0.4262197350190417,0.7091050651533419,1.5879594678542843,all
4.25,90.0,4.0,0.0,0.424750394234441,0.7058407130971434,1.5704499535503467,all
