tta_0,d_0,a_values,a_duration,is_gap_accepted,RT_go,RT_stay,subj_id
4.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5405077884048548,0.4155356401454249,0.410508550629648,all
4.5,80,"(0.0, 4, 4, 0.0)",1.0,0.5405077884048548,0.4155356401454249,0.410508550629648,all
4.5,80,"(0.0, 4, -4, 0.0)",1.0,0.5405077884048548,0.4155356401454249,0.410508550629648,all
4.5,80,"(0.0, -4, 4, 0.0)",1.0,0.5405077884048548,0.4155356401454249,0.410508550629648,all
4.5,80,"(0.0, -4, -4, 0.0)",1.0,0.5456934509164549,0.41860845759637555,0.40663496242004793,all
5.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.6246904207912259,0.46077638040459934,0.4614251883996469,all
5.5,80,"(0.0, 4, 4, 0.0)",1.0,0.6246957064097631,0.4607823451305142,0.4861792636757043,all
5.5,80,"(0.0, 4, -4, 0.0)",1.0,0.6246957064097631,0.4607823451305142,0.4861792636757043,all
5.5,80,"(0.0, -4, 4, 0.0)",1.0,0.6401798086830062,0.4700913593941848,0.4453399616648831,all
5.5,80,"(0.0, -4, -4, 0.0)",1.0,0.663763570365205,0.4850027894088211,0.42275424229326414,all
