tta_0,d_0,a_values,is_gap_accepted,RT_merge,RT_wait,subj_id
4.0,70.0,"(0.0, 0.0, 0.0, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,70.0,"(0.0, 4, 4, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,70.0,"(0.0, 4, -4, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,70.0,"(0.0, -4, 4, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,70.0,"(0.0, -4, -4, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,80.0,"(0.0, 0.0, 0.0, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,80.0,"(0.0, 4, 4, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,80.0,"(0.0, 4, -4, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,80.0,"(0.0, -4, 4, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,80.0,"(0.0, -4, -4, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,90.0,"(0.0, 0.0, 0.0, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.0,90.0,"(0.0, 4, 4, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.0,90.0,"(0.0, 4, -4, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.0,90.0,"(0.0, -4, 4, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.0,90.0,"(0.0, -4, -4, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.25,70.0,"(0.0, 0.0, 0.0, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,70.0,"(0.0, 4, 4, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,70.0,"(0.0, 4, -4, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,70.0,"(0.0, -4, 4, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,70.0,"(0.0, -4, -4, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,80.0,"(0.0, 0.0, 0.0, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,80.0,"(0.0, 4, 4, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,80.0,"(0.0, 4, -4, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,80.0,"(0.0, -4, 4, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,80.0,"(0.0, -4, -4, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,90.0,"(0.0, 0.0, 0.0, 0.0)",0.2480550723957127,0.8078244875228705,1.2650559238200076,all
4.25,90.0,"(0.0, 4, 4, 0.0)",0.2480550723957127,0.8078244875228705,1.2650559238200076,all
4.25,90.0,"(0.0, 4, -4, 0.0)",0.2480550723957127,0.8078244875228705,1.2650559238200076,all
