tta_0,d_0,a_values,a_duration,is_gap_accepted,RT_go,RT_stay,subj_id
4.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.3176206789258552,0.4904405316880393,1.547320484516767,all
4.5,80,"(0.0, 4, 4, 0.0)",1.0,0.2895633055807557,0.4366785243528702,1.4007922762424274,all
4.5,80,"(0.0, 4, -4, 0.0)",1.0,0.2922179628230914,0.4506411878622619,1.4419990987473823,all
4.5,80,"(0.0, -4, 4, 0.0)",1.0,0.3575683836620808,0.552720859308406,1.6962904191727262,all
4.5,80,"(0.0, -4, -4, 0.0)",1.0,0.3855847192415178,0.6646783966990407,1.8735327990754158,all
5.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4166464606007072,0.5456873005481575,1.7819755154782648,all
5.5,80,"(0.0, 4, 4, 0.0)",1.0,0.3694815554637502,0.46311261503611467,1.5476306473622226,all
5.5,80,"(0.0, 4, -4, 0.0)",1.0,0.37537860735689754,0.4886320274308715,1.6231376853632598,all
5.5,80,"(0.0, -4, 4, 0.0)",1.0,0.49577107402103615,0.6450105951607343,2.0409158413194484,all
5.5,80,"(0.0, -4, -4, 0.0)",1.0,0.655916454135921,1.1256835158036291,2.1644584909069597,all
