tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.31329796668165616,0.6125782814884989,1.3715838969235128,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.27924001582357594,0.5701780714126118,1.273671959682117,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.27970857434526586,0.5719509209776652,1.2838561565066795,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.3757068045894114,0.6826352788778696,1.5050568248074923,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.3886377628189688,0.723900764992994,1.594657744701566,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5216744512562219,0.6608146546145099,1.678049850504418,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.44973610623980687,0.5954275339974087,1.490331790378631,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.4521486392844053,0.6015017853966892,1.5249319539619406,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.658949506234066,0.7541793707778249,1.8900614298541047,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.7767707917908696,0.9852928879759998,1.6389174670731133,all
