tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.30121109779557403,0.6693753081832633,1.428297712390463,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.26414022083843,0.6225990593517721,1.3195803078295412,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.2650340845649537,0.6260610234939052,1.334682457658919,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.3659454284112426,0.7402509402469561,1.5668534857102385,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.3821621228127795,0.7977556316369819,1.6842020518530354,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4947247550923682,0.722589240543499,1.738645154005952,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.41890757489928254,0.6506930044923839,1.5359035155206717,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.42265428801762606,0.6605972002225352,1.5807859248361298,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.6313675250221819,0.8152615208957475,1.9612578168237704,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.7642375049041049,1.0829092951917367,1.9721201128669275,all
