tta_0,d_0,a_values,a_duration,is_gap_accepted,RT_go,RT_stay,subj_id
4.0,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.06972196653075037,0.7128674894846619,1.0881420558326187,all
4.0,70.0,"(0.0, 4, 4, 0.0)",1.0,0.0605199188215715,0.6805339536788041,1.034963721316287,all
4.0,70.0,"(0.0, 4, -4, 0.0)",1.0,0.0605199188215715,0.6805339536788041,1.034963721316287,all
4.0,70.0,"(0.0, -4, 4, 0.0)",1.0,0.09409790236013657,0.8025882017911499,1.2108416991344895,all
4.0,70.0,"(0.0, -4, -4, 0.0)",1.0,0.09409790236013657,0.8025882017911499,1.2108416991344895,all
4.0,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.20488556173363043,0.7390810082102677,1.3342473684561966,all
4.0,80.0,"(0.0, 4, 4, 0.0)",1.0,0.17920903825444082,0.7040911626053613,1.250347318330723,all
4.0,80.0,"(0.0, 4, -4, 0.0)",1.0,0.17920903825444082,0.7040911626053613,1.250347318330723,all
4.0,80.0,"(0.0, -4, 4, 0.0)",1.0,0.2610423705208202,0.819400727538029,1.5046786947810675,all
4.0,80.0,"(0.0, -4, -4, 0.0)",1.0,0.2610423705208202,0.819400727538029,1.5046786947810675,all
4.0,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.428188960437848,0.7417146213265063,1.5902462164032103,all
4.0,90.0,"(0.0, 4, 4, 0.0)",1.0,0.3850743651697639,0.7099497772825609,1.4764223682757855,all
4.0,90.0,"(0.0, 4, -4, 0.0)",1.0,0.3850743651697639,0.7099497772825609,1.4764223682757855,all
4.0,90.0,"(0.0, -4, 4, 0.0)",1.0,0.50567396311823,0.8031949966889977,1.7991704875660193,all
4.0,90.0,"(0.0, -4, -4, 0.0)",1.0,0.50567396311823,0.8031949966889977,1.7991704875660193,all
4.25,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.08427156357726807,0.7304875747857429,1.1438738223629994,all
4.25,70.0,"(0.0, 4, 4, 0.0)",1.0,0.0719516242457782,0.6925089177169231,1.0790460459446551,all
4.25,70.0,"(0.0, 4, -4, 0.0)",1.0,0.0719516242457782,0.6925089177169231,1.0790460459446551,all
4.25,70.0,"(0.0, -4, 4, 0.0)",1.0,0.12333003748291956,0.8579534356210621,1.3170411749458562,all
4.25,70.0,"(0.0, -4, -4, 0.0)",1.0,0.12333003748291956,0.8579534356210621,1.3170411749458562,all
4.25,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.23952824457360838,0.7561800620679291,1.4090588709426033,all
4.25,80.0,"(0.0, 4, 4, 0.0)",1.0,0.20704797047772427,0.7158765102282356,1.3084300757403855,all
4.25,80.0,"(0.0, 4, -4, 0.0)",1.0,0.20704797047772427,0.7158765102282356,1.3084300757403855,all
4.25,80.0,"(0.0, -4, 4, 0.0)",1.0,0.3194375566998275,0.8617086790669038,1.637246583099571,all
4.25,80.0,"(0.0, -4, -4, 0.0)",1.0,0.3194375566998275,0.8617086790669038,1.637246583099571,all
4.25,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.47726901346573064,0.754122400882536,1.6809209157654592,all
4.25,90.0,"(0.0, 4, 4, 0.0)",1.0,0.42723151464170217,0.7189166244909149,1.5464283504207372,all
4.25,90.0,"(0.0, 4, -4, 0.0)",1.0,0.42723151464170217,0.7189166244909149,1.5464283504207372,all
4.25,90.0,"(0.0, -4, 4, 0.0)",1.0,0.5729336605089118,0.828067543678544,1.949477682778148,all
4.25,90.0,"(0.0, -4, -4, 0.0)",1.0,0.5729336605089118,0.828067543678544,1.949477682778148,all
4.5,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.1011975972318722,0.748368679681663,1.2030828272875125,all
4.5,70.0,"(0.0, 4, 4, 0.0)",1.0,0.08494114062424714,0.7041730414972307,1.124701655894899,all
4.5,70.0,"(0.0, 4, -4, 0.0)",1.0,0.08494114062424714,0.7041730414972307,1.124701655894899,all
4.5,70.0,"(0.0, -4, 4, 0.0)",1.0,0.16486804629886026,0.9337711543253804,1.4491129283965678,all
4.5,70.0,"(0.0, -4, -4, 0.0)",1.0,0.16486804629886026,0.9337711543253804,1.4491129283965678,all
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.2772737636884219,0.7728192600735257,1.4872047515493678,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.23696861060497648,0.7269361183366219,1.3675660182820797,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.23696861060497648,0.7269361183366219,1.3675660182820797,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.38975077184558,0.9114571334055874,1.7914235803708098,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.38975077184558,0.9114571334055874,1.7914235803708098,all
4.5,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5255628281021156,0.7649395639934198,1.7741790303584986,all
4.5,90.0,"(0.0, 4, 4, 0.0)",1.0,0.4689013281531319,0.7265693820560172,1.616659969556689,all
4.5,90.0,"(0.0, 4, -4, 0.0)",1.0,0.4689013281531319,0.7265693820560172,1.616659969556689,all
4.5,90.0,"(0.0, -4, 4, 0.0)",1.0,0.6400763046636918,0.8520589395900768,2.115734786495487,all
4.5,90.0,"(0.0, -4, -4, 0.0)",1.0,0.6400763046636918,0.8520589395900768,2.115734786495487,all
4.75,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.12191181889318506,0.7653270686380985,1.2624671872609257,all
4.75,70.0,"(0.0, 4, 4, 0.0)",1.0,0.10066991961644742,0.7145528553520122,1.1690641352049098,all
4.75,70.0,"(0.0, 4, -4, 0.0)",1.0,0.10066991961644742,0.7145528553520122,1.1690641352049098,all
4.75,70.0,"(0.0, -4, 4, 0.0)",1.0,0.22845596623851905,1.0397969763682589,1.607202107355875,all
4.75,70.0,"(0.0, -4, -4, 0.0)",1.0,0.22845596623851905,1.0397969763682589,1.607202107355875,all
4.75,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.3195979103212668,0.7875943148483728,1.5640987160945323,all
4.75,80.0,"(0.0, 4, 4, 0.0)",1.0,0.2705194259606863,0.7361692455949557,1.4239544634931673,all
4.75,80.0,"(0.0, 4, -4, 0.0)",1.0,0.2705194259606863,0.7361692455949557,1.4239544634931673,all
4.75,80.0,"(0.0, -4, 4, 0.0)",1.0,0.47535357458314753,0.967781778101631,1.960045936551355,all
4.75,80.0,"(0.0, -4, -4, 0.0)",1.0,0.47535357458314753,0.967781778101631,1.960045936551355,all
4.75,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5733438285811675,0.7725970357291089,1.8644618241309223,all
4.75,90.0,"(0.0, 4, 4, 0.0)",1.0,0.5109857105295951,0.7317024918247506,1.6826000343828322,all
4.75,90.0,"(0.0, 4, -4, 0.0)",1.0,0.5109857105295951,0.7317024918247506,1.6826000343828322,all
4.75,90.0,"(0.0, -4, 4, 0.0)",1.0,0.7046191622928376,0.871450976301963,2.285281908636059,all
4.75,90.0,"(0.0, -4, -4, 0.0)",1.0,0.7046191622928376,0.871450976301963,2.285281908636059,all
5.0,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.1444002227325788,0.7834622950601743,1.3286726330677006,all
5.0,70.0,"(0.0, 4, 4, 0.0)",1.0,0.11716403852193669,0.7254074587827294,1.2174361884223244,all
5.0,70.0,"(0.0, 4, -4, 0.0)",1.0,0.11716403852193669,0.7254074587827294,1.2174361884223244,all
5.0,70.0,"(0.0, -4, 4, 0.0)",1.0,0.32636066858501944,1.191188926459821,1.7934039575141025,all
5.0,70.0,"(0.0, -4, -4, 0.0)",1.0,0.32636066858501944,1.191188926459821,1.7934039575141025,all
5.0,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.36260605970464427,0.8027212609641731,1.6484582386242328,all
5.0,80.0,"(0.0, 4, 4, 0.0)",1.0,0.3039822006884015,0.7455145181102603,1.4844801229522275,all
5.0,80.0,"(0.0, 4, -4, 0.0)",1.0,0.3039822006884015,0.7455145181102603,1.4844801229522275,all
5.0,80.0,"(0.0, -4, 4, 0.0)",1.0,0.5734844531194802,1.033001670380021,2.147895395154662,all
5.0,80.0,"(0.0, -4, -4, 0.0)",1.0,0.5734844531194802,1.033001670380021,2.147895395154662,all
5.0,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.6169302060150024,0.7795106965232704,1.962190939801597,all
5.0,90.0,"(0.0, 4, 4, 0.0)",1.0,0.5496835083863258,0.736495860993661,1.7525032767724695,all
5.0,90.0,"(0.0, 4, -4, 0.0)",1.0,0.5496835083863258,0.736495860993661,1.7525032767724695,all
5.0,90.0,"(0.0, -4, 4, 0.0)",1.0,0.7611754285898186,0.8867344250157817,2.4615295387631924,all
5.0,90.0,"(0.0, -4, -4, 0.0)",1.0,0.7611754285898186,0.8867344250157817,2.4615295387631924,all
5.25,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.17129392270127175,0.800377566030452,1.3945994374000716,all
5.25,70.0,"(0.0, 4, 4, 0.0)",1.0,0.136747361406378,0.7348142099925161,1.2639633336823102,all
5.25,70.0,"(0.0, 4, -4, 0.0)",1.0,0.136747361406378,0.7348142099925161,1.2639633336823102,all
5.25,70.0,"(0.0, -4, 4, 0.0)",1.0,0.4778434209330065,1.3644447830920399,1.8976742413393533,all
5.25,70.0,"(0.0, -4, -4, 0.0)",1.0,0.4778434209330065,1.3644447830920399,1.8976742413393533,all
5.25,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4091650835204572,0.8154556145815356,1.7307052358887116,all
5.25,80.0,"(0.0, 4, 4, 0.0)",1.0,0.3405238031310555,0.7528212649086168,1.5415237420611765,all
5.25,80.0,"(0.0, 4, -4, 0.0)",1.0,0.3405238031310555,0.7528212649086168,1.5415237420611765,all
5.25,80.0,"(0.0, -4, 4, 0.0)",1.0,0.6810990451131012,1.0928268799207417,2.283413956882312,all
5.25,80.0,"(0.0, -4, -4, 0.0)",1.0,0.6810990451131012,1.0928268799207417,2.283413956882312,all
5.25,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.6577498469480371,0.7827501910790022,2.0558760982292297,all
5.25,90.0,"(0.0, 4, 4, 0.0)",1.0,0.5873428546840141,0.7386125479201916,1.8174087957189053,all
5.25,90.0,"(0.0, 4, -4, 0.0)",1.0,0.5873428546840141,0.7386125479201916,1.8174087957189053,all
5.25,90.0,"(0.0, -4, 4, 0.0)",1.0,0.8056006723388132,0.8889817328158921,2.5754659629326415,all
5.25,90.0,"(0.0, -4, -4, 0.0)",1.0,0.8056006723388132,0.8889817328158921,2.5754659629326415,all
5.5,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.20004671056550238,0.8183494684957328,1.4679505346363408,all
5.5,70.0,"(0.0, 4, 4, 0.0)",1.0,0.15698440309373074,0.7446420507822904,1.3145453799579372,all
5.5,70.0,"(0.0, 4, -4, 0.0)",1.0,0.15698440309373074,0.7446420507822904,1.3145453799579372,all
5.5,70.0,"(0.0, -4, 4, 0.0)",1.0,0.6648093656353424,1.481183861047183,1.678021190661002,all
5.5,70.0,"(0.0, -4, -4, 0.0)",1.0,0.6648093656353424,1.481183861047183,1.678021190661002,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.45513178996464015,0.8282308575364461,1.8209295648706074,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.3761773912330223,0.7601799105371447,1.6026939320081328,all
