tta_0,d_0,a_values,a_duration,is_gap_accepted,RT_go,RT_stay,subj_id
4.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.27830434720691016,0.3853888510936844,0.3895625517224723,all
4.5,80,"(0.0, 4, 4, 0.0)",1.0,0.2783032823959107,0.3853880448416915,0.3895634485496377,all
4.5,80,"(0.0, 4, -4, 0.0)",1.0,0.2783032823959107,0.3853880448416915,0.3895634485496377,all
4.5,80,"(0.0, -4, 4, 0.0)",1.0,0.2783052326298157,0.38538951891590045,0.38956154195603054,all
4.5,80,"(0.0, -4, -4, 0.0)",1.0,0.3322928346401744,0.38141645982424566,0.39167490416379613,all
5.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.45280949081479727,0.6335903140789862,0.7477036101203034,all
5.5,80,"(0.0, 4, 4, 0.0)",1.0,0.409327815745125,0.5984961954518706,0.7012711284653408,all
5.5,80,"(0.0, 4, -4, 0.0)",1.0,0.409327815745125,0.5984961954518706,0.7012711284653408,all
5.5,80,"(0.0, -4, 4, 0.0)",1.0,0.7236038299565992,0.9151302110026064,0.8745276830856431,all
5.5,80,"(0.0, -4, -4, 0.0)",1.0,0.7832961710621343,0.9517486743545546,0.6838418351043881,all
